year,FESOM2_REcoM,MRI_ESM2_2,CESM_ETHZ_r1,NorESM_vGCB2024,IPSL_r1
1970,1.178977701,0.928435829,1.018531822,1.472314904,0.792609272
1971,1.232375893,1.056296429,1.123696429,1.524375,0.819007143
1972,1.352774084,1.572157028,1.477861035,1.784435096,1.178405014
1973,1.375172276,1.066017628,1.306025641,1.834495192,1.003802885
1974,1.345570467,1.066878228,1.111190247,1.774555288,0.974200755
1975,1.164968658,1.021738828,1.029354853,1.718615385,0.833598626
1976,1.25236685,1.422599428,1.26351946,1.883675481,0.984996497
1977,1.388765041,1.509460027,1.390684066,1.954735577,1.146394368
1978,1.508163233,1.379320627,1.460848672,1.906795673,1.214792239
1979,1.324561424,1.457181227,1.376013278,1.757855769,1.16419011
1980,1.827959615,1.551041827,1.654177885,2.045915865,1.458587981
1981,1.839357807,1.535902427,1.604342491,2.071975962,1.407985852
1982,1.938755998,1.852763027,1.791507097,2.134036058,1.541383723
1983,2.10915419,2.009623626,1.979671703,2.322096154,1.733781593
1984,1.982552381,1.504484226,1.65383631,2.27815625,1.485179464
1985,1.761950572,1.448344826,1.614000916,2.259216346,1.376577335
1986,1.895348764,1.648205426,1.577165522,2.292276442,1.492975206
1987,1.847746955,1.983066026,1.777330128,2.226336538,1.657373077
1988,1.977145147,1.403926625,1.722494734,2.134396635,1.530770948
1989,1.805543338,1.614787225,1.553659341,2.259456731,1.388168819
1990,1.933941529,1.814647825,1.735823947,2.276516827,1.56056669
1991,2.053339721,1.929508425,1.890988553,2.312576923,1.62796456
1992,2.192737912,2.112369025,2.107153159,2.564637019,1.839362431
1993,2.244136103,2.045229625,2.025317766,2.551697115,1.875760302
1994,2.102534295,1.739090224,1.822482372,2.401757212,1.724158173
1995,2.171932486,1.831950824,1.882646978,2.304817308,1.789556044
1996,2.212330678,1.833811424,1.854811584,2.237877404,1.741953915
1997,2.153728869,2.197672024,2.05797619,2.3289375,1.953351786
1998,2.42912706,2.137532624,2.071140797,2.363997596,2.023749657
1999,2.237525252,1.696393223,1.718305403,2.411057692,1.569147527
2000,2.041923443,1.734253823,1.638470009,2.390117788,1.605545398
2001,1.851321635,1.725114423,1.627634615,2.303177885,1.599943269
2002,2.390719826,2.115975023,2.098799222,2.546237981,2.03934114
2003,2.389118017,2.170835623,2.211963828,2.687298077,1.991739011
2004,2.282516209,2.069696223,2.116128434,2.587358173,1.938136882
2005,2.3859144,2.088556822,2.21029304,2.614418269,2.036534753
2006,2.474312592,2.303417422,2.220457647,2.729478365,2.065932624
2007,2.597710783,1.988278022,2.146622253,2.658538462,2.125330495
2008,2.400108974,2.263138622,2.081786859,2.764598558,1.981728365
2009,2.401507166,2.243999222,2.229951465,2.644658654,2.088126236
2010,2.454905357,2.144859821,2.172116071,2.62071875,2.105524107
2011,2.710303549,2.273720421,2.122280678,2.787778846,2.136921978
2012,2.50870174,2.482581021,2.336445284,2.933838942,2.244319849
2013,2.659099931,2.323441621,2.34060989,2.937899038,2.25071772
2014,2.808498123,2.523302221,2.394774496,3.000959135,2.410115591
2015,2.774896314,2.698162821,2.580939103,3.119019231,2.457513462
2016,3.053294505,2.50002342,2.627103709,3.080079327,2.554911332
2017,2.753692697,2.44788402,2.380268315,3.027139423,2.253309203
2018,2.884090888,2.53174462,2.444432921,3.010199519,2.327707074
2019,2.89348908,2.47660522,2.443597527,3.054259615,2.183104945
2020,2.864887271,2.38546582,2.458762134,2.975319712,2.005502816
2021,2.724285462,2.417326419,2.22792674,3.089379808,1.887900687
2022,2.754683654,2.324187019,2.295091346,3.093439904,1.901298558
